update mean_generation_sp0 mean_fitness_sp0 max_fitness_sp0 mean_generation_sp1 mean_fitness_sp1 max_fitness_sp1 mean_generation_sp2 mean_fitness_sp2 max_fitness_sp2 mean_generation_sp3 mean_fitness_sp3 max_fitness_sp3 mean_generation_sp4 mean_fitness_sp4 max_fitness_sp4 mean_generation_sp5 mean_fitness_sp5 max_fitness_sp5 mean_generation_sp6 mean_fitness_sp6 max_fitness_sp6 mean_generation_sp7 mean_fitness_sp7 max_fitness_sp7 mean_generation_sp8 mean_fitness_sp8 max_fitness_sp8 mean_generation_sp9 mean_fitness_sp9 max_fitness_sp9
44 0.0667 -344.9053 1802.0925 0.5000 -1447.3622 707.0872 0.9286 -1287.9010 209.6200 1.6250 -1889.5788 -213.0615 1.9000 -1966.1475 34.5890 2.7500 -2359.3989 -285.0269 3.5500 -3478.8010 -1764.2595 4.3929 -3709.9711 -2264.1041 9.2250 -4161.9652 -1885.1170 9.0750 -4795.7405 -3423.1405
45 0.0649 -346.9348 1802.0925 0.5714 -1485.9979 707.0872 1.0714 -1510.7045 16.0917 1.6757 -2013.6767 209.6200 2.2000 -1996.5513 34.5890 2.6071 -2421.1402 -285.0269 3.4722 -3503.3908 -2088.2601 4.3939 -3851.9306 -2264.1041 9.4500 -4241.4504 -1885.1170 9.2250 -4873.3755 -3423.1405
46 0.0625 -276.2984 2104.6513 1.0000 -1847.3500 -1502.4303 0.6667 -1437.7465 707.0872 1.7027 -1709.7997 209.6200 2.2250 -2028.1813 34.5890 2.5758 -2497.5894 -285.0269 3.7143 -3315.6737 -1838.0208 4.3333 -3928.6466 -2264.1041 9.7500 -4285.0199 -2781.0920 9.4000 -4864.5079 -3423.1405
47 0.0533 -306.4260 2235.9437 0.6667 -2406.3579 -1291.3474 1.0000 -1443.7945 707.0872 1.5263 -1517.6898 209.6200 2.2000 -2249.0564 -409.6756 2.7368 -2574.1682 -285.0269 3.7250 -3293.1398 -1838.0208 4.4250 -4004.9832 -2264.1041 9.9250 -4260.1050 -2781.0920 9.8000 -4831.4160 -3121.0802
48 0.0143 -105.0264 2104.6513 0.5385 -2727.3281 -1291.3474 0.9167 -1726.5475 707.0872 1.4324 -1639.4291 209.6200 2.1750 -2562.8446 -409.6756 2.7429 -2665.9216 -285.0269 3.7317 -3273.7580 -1646.4368 4.8718 -4058.6676 -2264.1041 10.1250 -4284.4495 -2781.0920 9.8250 -4861.8094 -3423.1405
49 0.0375 -132.8564 2344.5504 1.0000 -2506.3682 -1291.3474 0.5882 -2276.1981 707.0872 1.4750 -1692.2523 209.6200 2.1379 -2030.9537 -409.6756 2.9750 -2680.0680 -285.0269 3.8824 -3285.7447 -1646.4368 5.0750 -4055.0035 -2264.1041 10.4615 -4156.5309 -2781.0920 10.0000 -4914.0780 -3423.1405
50 0.0750 -295.1666 1652.4663 1.0000 -1879.5031 -1879.5031 0.6667 -2502.1056 707.0872 1.8947 -1367.6967 16.0917 1.9500 -2000.3469 -274.0164 3.0625 -2579.3093 -285.0269 3.4500 -3139.1793 -1646.4368 5.2250 -4021.4616 -2264.1041 10.1786 -4163.7327 -2781.0920 10.1750 -5010.5265 -3423.1405
51 0.0789 -204.5598 1740.9759 1.0000 -2526.4028 -2298.4333 0.7692 -2129.6254 707.0872 1.5000 -1913.9273 16.0917 1.8500 -2156.3400 -274.0164 3.1622 -2634.0637 -285.0269 3.4545 -3261.0242 -1646.4368 5.3333 -3973.8358 -2063.2153 10.1613 -4182.5312 -2781.0920 10.2750 -5004.0151 -3423.1405
52 0.0143 13.8182 2129.6007 0.8571 -2445.8772 -844.5799 1.0000 -2310.1661 -1291.3474 1.3103 -1805.2905 707.0872 1.8000 -2334.4032 -274.0164 3.2250 -2665.2972 -285.0269 3.3750 -3229.3275 -1646.4368 5.3750 -3998.0425 -2063.2153 9.9333 -4068.8432 -2593.5527 10.4750 -4979.0225 -3423.1405
53 0.0750 2.0710 2129.6007 1.3333 -1701.1252 -844.5799 0.8125 -2505.3306 -1291.3474 1.2963 -1957.2397 707.0872 2.0750 -2215.3267 -213.0615 3.4000 -2875.5540 -1561.9512 3.4286 -3110.0296 -285.0269 6.0000 -3976.2862 -2063.2153 9.1750 -3980.8396 -2264.1041 10.5000 -5048.8011 -3423.1405
