update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
37 1.0395 -146.6051 2241.2497 8.0000 -965.1438 209.6200 12.8667 -2217.0738 -274.0164 20.2188 -1883.1295 34.5890 32.1500 -2087.1252 712.6813 47.6061 -2284.1547 90.9266 79.7073 -3659.8988 -1616.6304 133.2105 -3860.0111 -2479.8875 207.0750 -3362.3248 -1166.7877 280.0250 -4453.8660 -2749.4149
38 0.9610 -40.3823 2241.2497 8.2000 -1197.4397 209.6200 12.5882 -1663.2185 -213.0615 20.6250 -1822.7974 34.5890 31.0500 -2222.0210 712.6813 47.7000 -2357.5778 90.9266 81.4286 -3687.3481 -1616.6304 136.6750 -3935.8596 -2479.8875 206.1750 -3582.1382 -1166.7877 288.3750 -4561.5789 -2749.4149
39 1.0395 -74.8682 1789.2259 8.6667 -1518.9495 -309.1604 12.2105 -1411.3667 209.6200 20.1000 -1866.3448 34.5890 31.7000 -2508.8666 -455.1067 48.0769 -2506.5576 90.9266 80.4211 -3560.9305 -1616.6304 133.2647 -3887.2760 -2479.8875 198.9250 -3719.1093 -1166.7877 291.2250 -4647.4262 -2749.4149
40 0.9737 -41.9908 1789.2259 8.0000 -1613.6527 -309.1604 12.3500 -1278.4367 209.6200 19.8125 -1924.2870 34.5890 34.3500 -2597.0768 -455.1067 50.8974 -2623.9356 90.9266 82.5000 -3591.0963 -1764.2595 136.1892 -3844.6527 -2264.1041 196.9750 -3943.0350 -1613.5739 295.8000 -4744.9034 -3423.1405
41 0.9351 -132.6118 1823.5819 7.5000 -1185.6606 16.0917 12.3182 -1257.1926 209.6200 19.9143 -1938.4373 34.5890 33.5278 -2641.0902 -455.1067 48.1111 -2620.5326 -285.0269 86.3750 -3730.3471 -1764.2595 135.7750 -3838.9341 -2264.1041 196.1250 -4149.2913 -1885.1170 300.9500 -4740.9505 -3423.1405
42 1.1375 46.1707 2070.1541 8.6667 -1171.2794 16.0917 12.8500 -1166.9942 209.6200 20.3333 -1841.1859 34.5890 32.7000 -2553.9842 -455.1067 50.7500 -2657.1177 -285.0269 81.1364 -3463.8333 -1764.2595 141.9250 -3860.2625 -2264.1041 199.0250 -4151.1743 -1885.1170 306.8000 -4713.2951 -3291.6966
43 1.1688 -101.2660 2070.1541 8.0000 -1167.0913 707.0872 13.5263 -1066.8425 209.6200 20.1471 -1908.6822 34.5890 29.1562 -2130.2493 -455.1067 54.7000 -2726.4351 -285.0269 83.3750 -3441.4183 -1764.2595 148.1250 -3855.2329 -2264.1041 201.7750 -4082.0100 -1885.1170 313.5500 -4819.3812 -3423.1405
44 1.0533 -344.9053 1802.0925 7.5000 -1447.3622 707.0872 12.8571 -1287.9010 209.6200 19.5250 -1889.5788 -213.0615 30.0000 -1966.1475 34.5890 52.3750 -2359.3989 -285.0269 80.6750 -3478.8010 -1764.2595 145.5000 -3709.9711 -2264.1041 205.4750 -4161.9652 -1885.1170 320.0000 -4795.7405 -3423.1405
45 0.9221 -346.9348 1802.0925 8.2857 -1485.9979 707.0872 13.2143 -1510.7045 16.0917 20.2162 -2013.6767 209.6200 31.0500 -1996.5513 34.5890 52.8929 -2421.1402 -285.0269 83.6944 -3503.3908 -2088.2601 141.3333 -3851.9306 -2264.1041 211.6750 -4241.4504 -1885.1170 326.4000 -4873.3755 -3423.1405
46 1.0875 -276.2984 2104.6513 8.7500 -1847.3500 -1502.4303 12.9167 -1437.7465 707.0872 20.0000 -1709.7997 209.6200 30.9500 -2028.1813 34.5890 51.5455 -2497.5894 -285.0269 82.0571 -3315.6737 -1838.0208 135.8974 -3928.6466 -2264.1041 217.9500 -4285.0199 -2781.0920 330.6500 -4864.5079 -3423.1405
